21.35992703625 46.98777743131 -0.2660595675678   49.77849463152 -0.9093822662495   
21.52235994147 46.98678883422 -0.2645835355634   49.7774882698 -0.9037145298686   
21.68479284669 46.98581179735 -0.2631227850971   49.77650631859 -0.898111175134   
21.84722575191 46.98484610025 -0.2616766699097   49.77554810255 -0.8925716179412   
22.00965865713 46.98389172805 -0.2602446917439   49.77461264531 -0.8870950841059   
22.17209156234 46.9829486513 -0.258826820963   49.7736990654 -0.8816803238341   
22.33452446756 46.98201657056 -0.2574232862986   49.77280691355 -0.8763258983015   
22.49695737278 46.98109493024 -0.2560340801129   49.77193606492 -0.8710307055042   
22.659390278 46.98018324176 -0.2546587333887   49.77108626686 -0.8657941547349   
22.82182318322 46.97928139621 -0.2532965929105   49.7702568201 -0.8606158094168   
22.98425608844 46.97838961828 -0.2519472866114   49.76944673017 -0.8554948952536   
23.14668899366 46.97750807548 -0.2506108901838   49.76865517429 -0.8504301871804   
23.30912189888 46.97663652378 -0.2492876470374   49.76788181327 -0.8454203687504   
23.47155480409 46.97577434972 -0.2479775461879   49.7671266459 -0.840464481341   
23.63398770931 46.97492098034 -0.2466801712748   49.76638955765 -0.8355620243618   
23.79642061453 46.97407627375 -0.2453949379423   49.76566999585 -0.830712637366   
23.95885351975 46.97324052401 -0.2441214673915   49.76496706231 -0.8259156895018   
24.12128642497 46.97241407826 -0.24285974996   49.76427991878 -0.8211701536568   
24.28371933019 46.97159691432 -0.2416099786788   49.76360813212 -0.8164748497173   
24.44615223541 46.97078854746 -0.2403722320625   49.76295166799 -0.8118288105987   
24.60858514062 46.96998833304 -0.2391462886972   49.76231056351 -0.8072314485653   
24.77101804584 46.96919589414 -0.2379317079224   49.7616845726 -0.8026824056611   
24.93345095106 46.96841131905 -0.2367280759029   49.76107307072 -0.7981812459554   
25.09588385628 46.96763498562 -0.235535200634   49.76047526974 -0.7937272536354   
25.2583167615 46.96686717562 -0.2343531139666   49.75989054661 -0.7893194809174   
25.42074966672 46.96610778957 -0.2331819099982   49.75931862554 -0.7849569753469   
25.58318257194 46.96535636619 -0.2320215666813   49.75875949516 -0.7806389899613   
