              Im{iWn}     Re{Delta_1}[1,1]     Im{Delta_1}[1,1]     Re{Delta_1}[2,1]     Im{Delta_1}[2,1]
    10.80178819708599     0.00688075722869    -0.16338135664276    -0.33925147218341    -0.55939080726003
    10.96422110230533     0.00606767733067    -0.16243044698085    -0.34058779146343    -0.55693323511246
    11.12665400752467     0.00529139669506    -0.16148117126087    -0.34181054573059    -0.55452458214095
    11.28908691274401     0.00455033885552    -0.16053405798756    -0.34292475057504    -0.55216399500898
    11.45151981796334     0.00384299392589    -0.15958959014098    -0.34393517191426    -0.54985057735910
    11.61395272318268     0.00316791602246    -0.15864820860465    -0.34484634021251    -0.54758339775978
    11.77638562840202     0.00252372075173    -0.15771031533879    -0.34566256384323    -0.54536149676448
    11.93881853362136     0.00190908276613    -0.15677627631767    -0.34638794164344    -0.54318389317478
    12.10125143884070     0.00132273339025    -0.15584642424781    -0.34702637470763    -0.54104958958995
    12.26368434406003     0.00076345831887    -0.15492106108376    -0.34758157746593    -0.53895757731697
    12.42611724927937     0.00023009538810    -0.15400046035588    -0.34805708808988    -0.53690684070769
    12.58855015449871    -0.00027846758034    -0.15308486932449    -0.34845627826639    -0.53489636098192
    12.75098305971805    -0.00076329486146    -0.15217451097301    -0.34878236237870    -0.53292511959069
    12.91341596493739    -0.00122540483604    -0.15126958585206    -0.34903840613104    -0.53099210116700
    13.07584887015673    -0.00166577192839    -0.15037027378621    -0.34922733465086    -0.52909629610772
    13.23828177537606    -0.00208532846960    -0.14947673545151    -0.34935194010346    -0.52723670282390
    13.40071468059540    -0.00248496649946    -0.14858911384035    -0.34941488884301    -0.52541232969736
    13.56314758581474    -0.00286553947762    -0.14770753560324    -0.34941872814616    -0.52362219676712
    13.72558049103408    -0.00322786397648    -0.14683211232205    -0.34936589251379    -0.52186533719101
    13.88801339625342    -0.00357272120925    -0.14596294162230    -0.34925870965606    -0.52014079847097
    14.05044630147275    -0.00390085867444    -0.14510010832617    -0.34909940601012    -0.51844764353367
    14.21287920669209    -0.00421299144703    -0.14424368531334    -0.34889011211389    -0.51678495157013
    14.37531211191143    -0.00450980382006    -0.14339373461879    -0.34863286740302    -0.51515181882820
    14.53774501713077    -0.00479195039383    -0.14255030807416    -0.34832962502971    -0.51354735913831
    14.70017792235011    -0.00506005759622    -0.14171344828102    -0.34798225613529    -0.51197070447054
    14.86261082756945    -0.00531472478035    -0.14088318923272    -0.34759255397882    -0.51042100522571
    15.02504373278878    -0.00555652545624    -0.14005955697979    -0.34716223797781    -0.50889743060057
    15.18747663800812    -0.00578600840389    -0.13924257034599    -0.34669295711436    -0.50739916867491
    15.34990954322746    -0.00600369886379    -0.13843224142428    -0.34618629365304    -0.50592542665838
    15.51234244844680    -0.00621009934255    -0.13762857609237    -0.34564376624419    -0.50447543081620
    15.67477535366614    -0.00640569087344    -0.13683157463246    -0.34506683302440    -0.50304842654641
    15.83720825888547    -0.00659093384593    -0.13604123206540    -0.34445689454219    -0.50164367831960
    15.99964116410481    -0.00676626880049    -0.13525753858979    -0.34381529649353    -0.50026046952078
    16.16207406932415    -0.00693211752249    -0.13448048007014    -0.34314333230542    -0.49889810236854
    16.32450697454349    -0.00708848861090    -0.13370915335884    -0.34244154978315    -0.49755565974964
    16.48693987976283    -0.00723619457424    -0.13294449755698    -0.34171188637760    -0.49623272860106
    16.64937278498217    -0.00737560329215    -0.13218648160415    -0.34095549005027    -0.49492866617380
    16.81180569020150    -0.00750706702767    -0.13143507179635    -0.34017346565087    -0.49364284765126
    16.97423859542084    -0.00763092310924    -0.13069023201995    -0.33936687685412    -0.49237466588320
    17.13667150064018    -0.00774749458265    -0.12995192396860    -0.33853674799292    -0.49112353110350
    17.29910440585952    -0.00785709083384    -0.12922010734468    -0.33768406579393    -0.48988887063315
    17.46153731107886    -0.00796000818451    -0.12849474004665    -0.33680978102151    -0.48867012857256
    17.62397021629819    -0.00805653046102    -0.12777577834285    -0.33591481003535    -0.48746676548347
    17.78640312151753    -0.00814692953808    -0.12706317703256    -0.33500003626684    -0.48627825806413
    17.94883602673687    -0.00823146585837    -0.12635688959622    -0.33406631161909    -0.48510409881825
    18.11126893195621    -0.00831038892889    -0.12565686833428    -0.33311445779486    -0.48394379571990
    18.27370183717555    -0.00838393779536    -0.12496306449640    -0.33214526755675    -0.48279687187550
    18.43613474239488    -0.00845234149529    -0.12427542840119    -0.33115950592352    -0.48166286518405
    18.59856764761422    -0.00851581949111    -0.12359390954760    -0.33015791130619    -0.48054132799682
    18.76100055283356    -0.00857458208383    -0.12291845671795    -0.32914119658741    -0.47943182677721
    18.92343345805290    -0.00862883080835    -0.12224901807385    -0.32811005014732    -0.47833394176216
    19.08586636327224    -0.00867875881112    -0.12158554124482    -0.32706513683902    -0.47724726662479
    19.24829926849158    -0.00872455121105    -0.12092797341081    -0.32600709891634    -0.47617140814036
    19.41073217371092    -0.00876638544428    -0.12027626137840    -0.32493655691675    -0.47510598585463
    19.57316507893026    -0.00880443159379    -0.11963035165176    -0.32385411050185    -0.47405063175615
    19.73559798414959    -0.00883885270413    -0.11899019049804    -0.32276033925779    -0.47300498995250
    19.89803088936893    -0.00886980508233    -0.11835572400816    -0.32165580345791    -0.47196871635088
    20.06046379458827    -0.00889743858541    -0.11772689815298    -0.32054104478961    -0.47094147834311
    20.22289669980761    -0.00892189689527    -0.11710365883534    -0.31941658704744    -0.46992295449618
    20.38532960502695    -0.00894331778117    -0.11648595193830    -0.31828293679426    -0.46891283424710
    20.54776251024628    -0.00896183335085    -0.11587372336928    -0.31714058399222    -0.46791081760381
    20.71019541546562    -0.00897757029043    -0.11526691910149    -0.31599000260512    -0.46691661485123
    20.87262832068496    -0.00899065009374    -0.11466548521165    -0.31483165117375    -0.46592994626285
    21.03506122590430    -0.00900118928157    -0.11406936791481    -0.31366597336563    -0.46495054181820
    21.19749413112363    -0.00900929961133    -0.11347851359701    -0.31249339850054    -0.46397814092590
    21.35992703634297    -0.00901508827737    -0.11289286884447    -0.31131434205297    -0.46301249215259
    21.52235994156231    -0.00901865810260    -0.11231238047108    -0.31012920613296    -0.46205335295773
    21.68479284678165    -0.00902010772181    -0.11173699554357    -0.30893837994621    -0.46110048943396
    21.84722575200099    -0.00901953175671    -0.11116666140411    -0.30774224023463    -0.46015367605373
    22.00965865722032    -0.00901702098369    -0.11060132569193    -0.30654115169837    -0.45921269542139
    22.17209156243967    -0.00901266249386    -0.11004093636183    -0.30533546740018    -0.45827733803090
    22.33452446765900    -0.00900653984655    -0.10948544170246    -0.30412552915317    -0.45734740202998
    22.49695737287834    -0.00899873321579    -0.10893479035182    -0.30291166789249    -0.45642269298893
    22.65939027809768    -0.00898931953066    -0.10838893131196    -0.30169420403216    -0.45550302367610
    22.82182318331702    -0.00897837260951    -0.10784781396233    -0.30047344780741    -0.45458821383815
    22.98425608853636    -0.00896596328828    -0.10731138807124    -0.29924969960342    -0.45367808998598
    23.14668899375570    -0.00895215954343    -0.10677960380693    -0.29802325027114    -0.45277248518642
    23.30912189897503    -0.00893702660957    -0.10625241174712    -0.29679438143079    -0.45187123885874
    23.47155480419437    -0.00892062709192    -0.10572976288758    -0.29556336576353    -0.45097419657673
    23.63398770941371    -0.00890302107402    -0.10521160864953    -0.29433046729208    -0.45008120987595
