  R1   R2   R3      I1   I2   I3      A1   A2           dist.               Jij
  -2   -2    2       8    8    2       1    1      9.51870207079320  -0.04018977070576
   0    2    4       0    2    4       1    1      9.51870207079320  -0.04026223529655
   0    4    2       0    4    2       1    1      9.51870207079320  -0.04014599551230
   0   -4   -2       0    6    8       1    1      9.51870207079320  -0.04014599551230
   0   -2   -4       0    8    6       1    1      9.51870207079320  -0.04026223529655
   2    0    4       2    0    4       1    1      9.51870207079320  -0.04014599551230
   2    4    4       2    4    4       1    1      9.51870207079320  -0.04026223529655
   2   -2    2       2    8    2       1    1      9.51870207079320  -0.04026223529655
   2   -2   -2       2    8    8       1    1      9.51870207079320  -0.04014599551230
   4    0    2       4    0    2       1    1      9.51870207079320  -0.04026223529655
   4    2    4       4    2    4       1    1      9.51870207079320  -0.04014599551230
  -4    0   -2       6    0    8       1    1      9.51870207079320  -0.04026223529655
  -4   -2   -4       6    8    6       1    1      9.51870207079320  -0.04014599551230
  -2    0   -4       8    0    6       1    1      9.51870207079320  -0.04014599551230
  -2    2    2       8    2    2       1    1      9.51870207079320  -0.04014599551230
  -2    2   -2       8    2    8       1    1      9.51870207079320  -0.04026223529655
  -2   -4   -4       8    6    6       1    1      9.51870207079320  -0.04026223529655
   0    0    4       0    0    4       1    1      9.94196006534596  -0.15286906425647
   0    0   -4       0    0    6       1    1      9.94196006534596  -0.15286906425647
   0    4    0       0    4    0       1    1      9.94196006534596  -0.15286906425647
   0   -4    0       0    6    0       1    1      9.94196006534596  -0.15286906425647
   4    0    0       4    0    0       1    1      9.94196006534596  -0.15286906425647
   4    4    4       4    4    4       1    1      9.94196006534596  -0.15286906425647
  -4    0    0       6    0    0       1    1      9.94196006534596  -0.15286906425647
  -4   -4   -4       6    6    6       1    1      9.94196006534596  -0.15286906425647
   0    2   -3       0    2    7       1    1     10.24793786877351  -0.06686725783166
   0    3    4       0    3    4       1    1     10.24793786877351  -0.03504874239192
   0    3   -2       0    3    8       1    1     10.24793786877351  -0.06694843304924
   0    4    3       0    4    3       1    1     10.24793786877351  -0.03510088279959
   0   -4   -3       0    6    7       1    1     10.24793786877351  -0.03510088279959
   0   -3    2       0    7    2       1    1     10.24793786877351  -0.06694843304924
   0   -3   -4       0    7    6       1    1     10.24793786877351  -0.03504874239192
   0   -2    3       0    8    3       1    1     10.24793786877351  -0.06686725783166
   1    4    4       1    4    4       1    1     10.24793786877351  -0.03504874239192
   1   -3   -3       1    7    7       1    1     10.24793786877351  -0.03510088279959
   2    0   -3       2    0    7       1    1     10.24793786877351  -0.06694843304924
   2   -3    0       2    7    0       1    1     10.24793786877351  -0.06724815172987
   3    0    4       3    0    4       1    1     10.24793786877351  -0.03510088279959
   3    0   -2       3    0    8       1    1     10.24793786877351  -0.06686725783166
   3    3   -1       3    3    9       1    1     10.24793786877351  -0.03491081733207
   3    4    0       3    4    0       1    1     10.24793786877351  -0.03491081733207
   3   -2    0       3    8    0       1    1     10.24793786877351  -0.06724815172987
   3   -1    3       3    9    3       1    1     10.24793786877351  -0.03504874239192
   4    0    3       4    0    3       1    1     10.24793786877351  -0.03504874239192
   4    1    4       4    1    4       1    1     10.24793786877351  -0.03510088279959
   4    3    0       4    3    0       1    1     10.24793786877351  -0.03491081733207
   4    4    1       4    4    1       1    1     10.24793786877351  -0.03491081733207
  -5   -3   -3       5    7    7       1    1     10.24793786877351  -0.06686725783166
  -5   -2   -2       5    8    8       1    1     10.24793786877351  -0.06694843304924
  -4    0   -3       6    0    7       1    1     10.24793786877351  -0.03504874239192
  -4   -4   -1       6    6    9       1    1     10.24793786877351  -0.03491081733207
  -4   -3    0       6    7    0       1    1     10.24793786877351  -0.03491081733207
  -4   -1   -4       6    9    6       1    1     10.24793786877351  -0.03510088279959
  -3    0    2       7    0    2       1    1     10.24793786877351  -0.06686725783166
  -3    0   -4       7    0    6       1    1     10.24793786877351  -0.03510088279959
  -3    1   -3       7    1    7       1    1     10.24793786877351  -0.03504874239192
  -3    2    0       7    2    0       1    1     10.24793786877351  -0.06724815172987
  -3   -5   -3       7    5    7       1    1     10.24793786877351  -0.06694843304924
  -3   -4    0       7    6    0       1    1     10.24793786877351  -0.03491081733207
  -3   -3    1       7    7    1       1    1     10.24793786877351  -0.03491081733207
  -3   -3   -5       7    7    5       1    1     10.24793786877351  -0.06724815172987
  -2    0    3       8    0    3       1    1     10.24793786877351  -0.06694843304924
  -2    3    0       8    3    0       1    1     10.24793786877351  -0.06724815172987
  -2   -5   -2       8    5    8       1    1     10.24793786877351  -0.06686725783166
  -2   -2   -5       8    8    5       1    1     10.24793786877351  -0.06724815172987
  -1    3    3       9    3    3       1    1     10.24793786877351  -0.03510088279959
  -1   -4   -4       9    6    6       1    1     10.24793786877351  -0.03504874239192
   1    3   -2       1    3    8       1    1     10.34792011804039  -0.03181165582880
   1   -2    3       1    8    3       1    1     10.34792011804039  -0.03168906767230
   2   -3   -1       2    7    9       1    1     10.34792011804039  -0.03182756127827
   2   -1   -3       2    9    7       1    1     10.34792011804039  -0.03168906767230
   3    1   -2       3    1    8       1    1     10.34792011804039  -0.03181165582880
   3   -2    1       3    8    1       1    1     10.34792011804039  -0.03175516620500
  -5   -3   -2       5    7    8       1    1     10.34792011804039  -0.03181165582880
  -5   -2   -3       5    8    7       1    1     10.34792011804039  -0.03168906767230
  -3    2   -1       7    2    9       1    1     10.34792011804039  -0.03175516620500
  -3   -5   -2       7    5    8       1    1     10.34792011804039  -0.03181165582880
  -3   -2   -5       7    8    5       1    1     10.34792011804039  -0.03182756127827
  -3   -1    2       7    9    2       1    1     10.34792011804039  -0.03181165582880
  -2    1    3       8    1    3       1    1     10.34792011804039  -0.03168906767230
  -2    3    1       8    3    1       1    1     10.34792011804039  -0.03182756127827
  -2   -5   -3       8    5    7       1    1     10.34792011804039  -0.03168906767230
  -2   -3   -5       8    7    5       1    1     10.34792011804039  -0.03175516620500
  -1    2   -3       9    2    7       1    1     10.34792011804039  -0.03168906767230
